gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,entrez_gene,gs_cat,gs_subcat
ARAF,369,ENSG00000078061,ARAF,369,ENSG00000078061,ARAF,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,369,H,
ARL4A,10124,ENSG00000122644,ARL4A,10124,ENSG00000122644,ARL4A,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,10124,H,
ATL2,64225,ENSG00000119787,ATL2,64225,ENSG00000119787,ATL2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,64225,H,
ATP1B3,483,ENSG00000069849,ATP1B3,483,ENSG00000069849,ATP1B3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,483,H,
ATP5PO,539,ENSG00000241837,ATP5PO,539,ENSG00000241837,ATP5O,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,539,H,
BAZ2A,11176,ENSG00000076108,BAZ2A,11176,ENSG00000076108,BAZ2A,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,11176,H,
BCKDHA,593,ENSG00000248098,BCKDHA,593,ENSG00000248098,BCKDHA,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,593,H,
BCL2L13,23786,ENSG00000099968,BCL2L13,23786,ENSG00000099968,BCL2L13,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,23786,H,
BCL6,604,ENSG00000113916,BCL6,604,ENSG00000113916,BCL6,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,604,H,
C3,718,ENSG00000125730,C3,718,ENSG00000125730,C3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,718,H,
CAT,847,ENSG00000121691,CAT,847,ENSG00000121691,CAT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,847,H,
CAVIN1,284119,ENSG00000177469,CAVIN1,284119,ENSG00000177469,PTRF,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,284119,H,
CAVIN2,8436,ENSG00000168497,CAVIN2,8436,ENSG00000168497,SDPR,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,8436,H,
CCNG2,901,ENSG00000138764,CCNG2,901,ENSG00000138764,CCNG2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,901,H,
CD151,977,ENSG00000177697,CD151,977,ENSG00000177697,CD151,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,977,H,
CD302,9936,ENSG00000241399,CD302,9936,ENSG00000241399,CD302,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,9936,H,
CD36,948,ENSG00000135218,CD36,948,ENSG00000135218,CD36,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,948,H,
CDKN2C,1031,ENSG00000123080,CDKN2C,1031,ENSG00000123080,CDKN2C,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1031,H,
CHCHD10,400916,ENSG00000250479,CHCHD10,400916,ENSG00000250479,CHCHD10,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,400916,H,
CHUK,1147,ENSG00000213341,CHUK,1147,ENSG00000213341,CHUK,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1147,H,
CIDEA,1149,ENSG00000176194,CIDEA,1149,ENSG00000176194,CIDEA,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1149,H,
CMBL,134147,ENSG00000164237,CMBL,134147,ENSG00000164237,CMBL,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,134147,H,
CMPK1,51727,ENSG00000162368,CMPK1,51727,ENSG00000162368,CMPK1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,51727,H,
COL15A1,1306,ENSG00000204291,COL15A1,1306,ENSG00000204291,COL15A1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1306,H,
COL4A1,1282,ENSG00000187498,COL4A1,1282,ENSG00000187498,COL4A1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1282,H,
COQ3,51805,ENSG00000132423,COQ3,51805,ENSG00000132423,COQ3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,51805,H,
COQ5,84274,ENSG00000110871,COQ5,84274,ENSG00000110871,COQ5,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,84274,H,
COQ9,57017,ENSG00000088682,COQ9,57017,ENSG00000088682,COQ9,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,57017,H,
COX6A1,1337,ENSG00000111775,COX6A1,1337,ENSG00000111775,COX6A1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1337,H,
COX7B,1349,ENSG00000131174,COX7B,1349,ENSG00000131174,COX7B,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1349,H,
COX8A,1351,ENSG00000176340,COX8A,1351,ENSG00000176340,COX8A,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1351,H,
CPT2,1376,ENSG00000157184,CPT2,1376,ENSG00000157184,CPT2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1376,H,
CRAT,1384,ENSG00000095321,CRAT,1384,ENSG00000095321,CRAT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1384,H,
CS,1431,ENSG00000062485,CS,1431,ENSG00000062485,CS,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1431,H,
CYC1,1537,ENSG00000179091,CYC1,1537,ENSG00000179091,CYC1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1537,H,
CYP4B1,1580,ENSG00000142973,CYP4B1,1580,ENSG00000142973,CYP4B1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1580,H,
DBT,1629,ENSG00000137992,DBT,1629,ENSG00000137992,DBT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1629,H,
DDT,1652,ENSG00000099977,DDT,1652,ENSG00000099977,DDT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1652,H,
DECR1,1666,ENSG00000104325,DECR1,1666,ENSG00000104325,DECR1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1666,H,
DGAT1,8694,ENSG00000185000,DGAT1,8694,ENSG00000185000,DGAT1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,8694,H,
DHCR7,1717,ENSG00000172893,DHCR7,1717,ENSG00000172893,DHCR7,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1717,H,
DHRS7,51635,ENSG00000100612,DHRS7,51635,ENSG00000100612,DHRS7,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,51635,H,
DHRS7B,25979,ENSG00000109016,DHRS7B,25979,ENSG00000109016,DHRS7B,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,25979,H,
DLAT,1737,ENSG00000150768,DLAT,1737,ENSG00000150768,DLAT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1737,H,
DLD,1738,ENSG00000091140,DLD,1738,ENSG00000091140,DLD,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1738,H,
DNAJB9,4189,ENSG00000128590,DNAJB9,4189,ENSG00000128590,DNAJB9,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,4189,H,
DNAJC15,29103,ENSG00000120675,DNAJC15,29103,ENSG00000120675,DNAJC15,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,29103,H,
DRAM2,128338,ENSG00000156171,DRAM2,128338,ENSG00000156171,DRAM2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,128338,H,
ECH1,1891,ENSG00000104823,ECH1,1891,ENSG00000104823,ECH1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1891,H,
ECHS1,1892,ENSG00000127884,ECHS1,1892,ENSG00000127884,ECHS1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1892,H,
ELMOD3,84173,ENSG00000115459,ELMOD3,84173,ENSG00000115459,ELMOD3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,84173,H,
ELOVL6,79071,ENSG00000170522,ELOVL6,79071,ENSG00000170522,ELOVL6,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,79071,H,
ENPP2,5168,ENSG00000136960,ENPP2,5168,ENSG00000136960,ENPP2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,5168,H,
EPHX2,2053,ENSG00000120915,EPHX2,2053,ENSG00000120915,EPHX2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2053,H,
ESRRA,2101,ENSG00000173153,ESRRA,2101,ENSG00000173153,ESRRA,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2101,H,
ESYT1,23344,ENSG00000139641,ESYT1,23344,ENSG00000139641,ESYT1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,23344,H,
ETFB,2109,ENSG00000105379,ETFB,2109,ENSG00000105379,ETFB,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2109,H,
FABP4,2167,ENSG00000170323,FABP4,2167,ENSG00000170323,FABP4,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2167,H,
FAH,2184,ENSG00000103876,FAH,2184,ENSG00000103876,FAH,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2184,H,
FZD4,8322,ENSG00000174804,FZD4,8322,ENSG00000174804,FZD4,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,8322,H,
G3BP2,9908,ENSG00000138757,G3BP2,9908,ENSG00000138757,G3BP2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,9908,H,
GADD45A,1647,ENSG00000116717,GADD45A,1647,ENSG00000116717,GADD45A,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,1647,H,
GBE1,2632,ENSG00000114480,GBE1,2632,ENSG00000114480,GBE1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2632,H,
GHITM,27069,ENSG00000165678,GHITM,27069,ENSG00000165678,GHITM,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,27069,H,
GPAM,57678,ENSG00000119927,GPAM,57678,ENSG00000119927,GPAM,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,57678,H,
GPAT4,137964,ENSG00000158669,GPAT4,137964,ENSG00000158669,AGPAT6,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,137964,H,
GPD2,2820,ENSG00000115159,GPD2,2820,ENSG00000115159,GPD2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2820,H,
GPHN,10243,ENSG00000171723,GPHN,10243,ENSG00000171723,GPHN,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,10243,H,
GPX3,2878,ENSG00000211445,GPX3,2878,ENSG00000211445,GPX3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2878,H,
GPX4,2879,ENSG00000167468,GPX4,2879,ENSG00000167468,GPX4,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,2879,H,
GRPEL1,80273,ENSG00000109519,GRPEL1,80273,ENSG00000109519,GRPEL1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,80273,H,
HADH,3033,ENSG00000138796,HADH,3033,ENSG00000138796,HADH,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3033,H,
HIBCH,26275,ENSG00000198130,HIBCH,26275,ENSG00000198130,HIBCH,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,26275,H,
HSPB8,26353,ENSG00000152137,HSPB8,26353,ENSG00000152137,HSPB8,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,26353,H,
IDH1,3417,ENSG00000138413,IDH1,3417,ENSG00000138413,IDH1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3417,H,
IDH3A,3419,ENSG00000166411,IDH3A,3419,ENSG00000166411,IDH3A,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3419,H,
IDH3G,3421,ENSG00000067829,IDH3G,3421,ENSG00000067829,IDH3G,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3421,H,
IFNGR1,3459,ENSG00000027697,IFNGR1,3459,ENSG00000027697,IFNGR1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3459,H,
IMMT,10989,ENSG00000132305,IMMT,10989,ENSG00000132305,IMMT,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,10989,H,
ITGA7,3679,ENSG00000135424,ITGA7,3679,ENSG00000135424,ITGA7,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3679,H,
ITIH5,80760,ENSG00000123243,ITIH5,80760,ENSG00000123243,ITIH5,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,80760,H,
ITSN1,6453,ENSG00000205726,ITSN1,6453,ENSG00000205726,ITSN1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,6453,H,
JAGN1,84522,ENSG00000171135,JAGN1,84522,ENSG00000171135,JAGN1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,84522,H,
LAMA4,3910,ENSG00000112769,LAMA4,3910,ENSG00000112769,LAMA4,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3910,H,
LEP,3952,ENSG00000174697,LEP,3952,ENSG00000174697,LEP,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3952,H,
LIFR,3977,ENSG00000113594,LIFR,3977,ENSG00000113594,LIFR,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,3977,H,
