sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,155,0,0,0,0,334,0,56,0,24,3,53,0,29,0,146,89,19
85,85,0,0,0,0,0,0,0,0,0,0,0,29,0,39,0,54,0,97
0,0,0,0,0,0,63,1,0,6,0,2,1,0,0,0,0,0,5,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,1,0,89,0,0,0,0,0,10,6,15,1,254,0,0,1,33,36
0,0,0,0,109,0,56,17,0,0,0,0,0,0,0,0,0,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69,0,0,0,49,0,0,0,0,0,0,0,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,22
0,0,0,0,79,0,0,0,0,0,0,0,2,0,0,0,0,2,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
285,285,0,0,0,0,138,65,2,8,0,31,22,90,0,27,0,18,128,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,6,6,0,0,0,0,0,2,0,0,0,25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23,0,5,4,0,1,0,2,0,122,8,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,0,39,0,9,0,0,0,5,0,56
64,64,0,0,62,0,0,0,0,0,0,0,1,0,0,0,0,0,74,40
25,25,0,0,117,1,0,0,0,20,0,0,0,2,0,20,0,0,15,8
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,16,0,0,39,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47,0,0,0,0,19,0,0,0,42,1,0,0,6,41,9
0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,41,0
82,82,0,0,193,70,88,96,1,52,1,114,0,34,14,99,0,9,137,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,77,0,1,0,28,1,0,0,0,1,23,0,61
0,0,0,0,2,0,0,0,0,0,0,12,5,0,0,0,0,0,0,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,154,39,0,0,0,0,0,0
135,135,0,0,0,0,0,19,0,0,0,108,8,0,0,0,0,0,0,177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,158,0,0,0,0,0,0,70,0,84,0,0,0,1
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,0,0,0,0,0,18,0,2,0,67,0,1,0,0,0,1,61,0
70,70,0,1,127,0,56,53,0,0,0,2,114,51,0,1,0,84,30,76
0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,2,0,0,34,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,171,176,0,0,0,0,0,104,183,120,0,0,0,111,97,0
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
53,53,0,1,5,78,1,70,1,0,0,44,0,1,0,4,0,394,162,152
0,0,0,0,32,0,0,0,0,0,0,54,0,0,0,0,0,0,2,21
0,0,0,0,0,0,0,44,0,1,0,24,0,43,0,0,0,135,0,101
0,0,0,0,0,25,0,0,0,73,0,18,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,9,0,87,0,33
0,0,0,0,0,0,0,0,0,6,0,50,86,170,0,0,0,0,0,0
83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,0
10,10,0,0,0,69,0,31,0,0,0,36,131,0,0,0,0,0,56,10
0,0,0,0,86,0,0,0,0,0,0,27,0,0,0,2,0,421,287,0
0,0,0,0,0,0,0,8,0,0,0,49,3,4,0,0,0,121,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
1,1,0,0,93,0,0,47,0,3,0,0,0,28,0,1,0,99,29,0
0,0,0,0,0,0,120,0,0,0,0,13,0,0,0,0,0,183,0,0
41,41,0,0,251,0,22,304,0,0,0,50,4,41,288,0,0,0,89,51
0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,0,17,0,0
0,0,0,0,14,1,60,0,0,0,3,35,19,0,12,1,0,38,5,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,20,157,51,2,0,0,71,0,109,0,2,0,22,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,0,1,231,35,224,268,1,0,14,185,365,129,210,34,0,281,410,189
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,98,51,148,89,0,0,0,25,311,190,141,0,2,248,353,388
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,69,0,17,0,0,0,0,0,0,0,8,0,185,11,13
115,115,0,0,113,8,0,18,0,2,0,11,8,83,236,1,0,158,209,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,374,0,1,42,69,0,124,0,7,7,0,69,60,0,2,0,141,83,115
111,111,0,0,111,0,114,36,0,0,1,2,53,16,0,1,0,180,0,160
113,113,141,0,73,150,11,113,0,0,0,22,41,49,453,20,0,35,16,45
0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,66,0,0,0,0,0,0,135,0,0,0,64,0,121
0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0
149,149,0,1,1,53,153,92,0,30,0,50,1,65,0,0,0,180,1,43
0,0,1,0,67,0,0,0,0,0,0,47,0,60,0,0,0,0,1,19
64,64,0,0,0,0,0,3,0,10,0,4,0,0,0,0,1,0,0,10
19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,107,0,18,34,0,97,0,13,0,0,117,0,0,0,73,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,278,0,2,72,101,102,186,0,3,12,37,0,237,167,0,0,261,107,140
188,188,0,0,49,22,45,77,0,0,0,40,48,80,0,31,0,35,89,34
99,99,0,0,0,0,0,0,0,0,0,0,68,74,0,35,0,0,32,26
0,0,0,0,68,0,36,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,12,0,0,1,0,35,0,53,0,0,234,0,0,65,0,0
38,38,0,0,0,0,0,0,0,0,0,1,0,0,208,0,0,0,0,0
0,0,0,1,99,78,0,0,0,0,0,89,93,23,0,0,0,51,26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,159,0,0,0,0,0,0,0,38,0,0,0,0,0,0,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,0,0,20,0,4,63,0,0,0,8,10,30,0,9,0,92,170,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,37,0,0,0,0,20,10,1,0,0,0,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,0,0,58,158,0,43,0,0,0,0,76,0,0,0,0,146,10,0
58,58,0,1,83,0,1,25,0,101,13,148,16,134,56,36,0,95,254,113
12,12,0,0,25,0,1,136,0,0,0,82,0,21,0,29,0,70,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
6,6,0,0,0,0,0,8,0,0,0,18,0,0,0,0,0,59,34,30
0,0,0,1,0,95,0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,240,1,0,0,3,0,25,42,0,0,0,5,0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,89,106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,43,0,0,18,0,0,0,0,0,31,179,40,0,0,0,4
0,0,0,1,0,0,59,1,0,0,0,0,0,0,0,0,0,0,97,0
0,0,0,0,195,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,47,23,0,17,0,0,0,0,49,25,0,2,0,0,25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,0
0,0,0,0,3,0,0,16,0,16,0,50,15,0,0,4,0,0,0,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
25,25,0,0,114,0,0,98,0,17,0,22,17,0,0,1,0,5,0,173
0,0,0,0,191,0,0,37,0,0,0,12,0,0,0,33,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,1
5,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11,221,0,11,0,0,0,0,203,24,0,20,0,42,7,6
0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,0,0,107
0,0,0,0,0,0,0,0,0,0,0,53,0,46,0,0,0,0,145,49
57,57,0,1,0,0,0,8,0,0,0,42,0,56,179,0,0,0,97,0
0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71,0,0,0,0,45,0,84,0,0,0,0,0,0,43,20
0,0,0,0,0,0,0,0,0,0,0,0,283,19,0,0,0,0,134,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,0,243,114,0,1,0,0,11,133,0,46,38,0,107,59,10
0,0,0,0,0,0,0,22,0,0,0,57,0,0,0,0,0,0,0,100
0,0,0,0,0,0,38,1,1,0,0,46,104,8,0,0,0,0,0,108
0,0,0,0,0,0,8,0,0,0,0,28,0,0,0,3,0,0,0,20
173,173,0,0,120,0,0,99,0,1,0,1,138,162,85,12,0,26,58,148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,56,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,74,0,67,0,22,0,73,0,0,0,0,71,11
99,99,1,0,164,0,0,327,0,86,0,172,147,16,1,0,0,81,125,0
19,19,0,0,33,0,0,54,1,0,0,82,1,0,527,0,0,27,0,1
77,77,0,0,20,34,32,50,0,92,0,45,272,43,290,5,0,23,111,53
71,71,0,0,2,47,151,0,0,19,0,30,6,0,0,0,0,76,0,202
0,0,0,0,0,0,89,0,1,0,0,30,0,0,0,0,0,0,0,27
29,29,0,0,65,0,0,34,0,0,0,0,64,186,0,13,0,67,198,301
0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,69,0,0,0,0,175,181,212,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,137,43,59,0,0,10,0,13,36,95,8,0,73,44,40
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,81,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0
0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,157,113,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,11,0,123,21,0,0,0,42,34,146,0,1,0,61,11,18
0,0,0,1,8,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,340,178,0,0,0,0,138,0,181,32,0,0,0,1
0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0,19,60,197,31,1,19,0,31,2,19,2,34,0,43,70,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,14,0,130,108,0,1,0,70,227,121,0,1,0,14,0,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
27,27,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,120,51,0,0,0,50,0,0,0,0,0,0,158,127
195,195,0,0,0,0,0,220,0,0,0,6,222,4,0,0,0,51,186,0
0,0,0,0,0,0,80,0,0,0,1,25,208,0,0,0,0,2,0,92
0,0,0,0,0,0,22,0,0,0,0,0,0,0,232,0,0,17,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,238,0,359,119,0,1,0,55,44,0,0,7,1,16,0,40
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,54,0,0,0,0,0,33,83,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,64,218,100,15,0,65,2,13,57,79,36,0,1,13,32,58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,1,0,0,0,0,1,0,6,0,110,0,101,0,0,0,20,0,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,0,0,0,0,0,10,0,2,0,9,0,31,0,19,0,0,1,0
8,8,0,0,2,3,5,2,1,0,0,1,1,0,17,1,0,1,9,4
66,66,0,0,268,0,16,20,0,0,0,4,0,0,263,0,1,0,0,75
11,11,0,0,0,142,0,0,0,43,0,0,84,0,0,0,0,1,24,0
55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,62,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,110,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,59,0,0,26,0,1,0,10,0,0,167,3,0,83,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,6,0,0,0,3,41,0,0,10,0,37,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
18,18,0,0,1,0,0,1,0,8,0,88,76,225,0,14,0,0,1,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21,0,1,0,0,0,12,193,46,0,0,0,61,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,27,0,36,0,24,74,14,196,24,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,1,0,0,0,0,7,0,0,0,14,0,24,0,18,0,9,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,75,92,0,0,0,3,0,59
